YEAR,STATENAME,tax_property_hh,tax_property_business,tax_consumption_hh,tax_consumption_business,tax_income_total,tax_property_total,tax_consumption_total,state_population,tax_property_hh_pc,tax_property_business_pc,tax_consumption_hh_pc,tax_consumption_business_pc,tax_income_total_pc,tax_property_total_pc,tax_consumption_total_pc
2005,Alabama,592390000,1200000000,2757142000,2400000000,2644726000,1792390000,5157142000,4569805,130,263,603,525,579,392,1129
2005,Alaska,192307000,700000000,203209000,100000000,0,892307000,303209000,666946,288,1050,305,150,0,1338,455
2005,Arizona,1538201000,3400000000,4579734000,3700000000,2848450000,4938201000,8279734000,5839077,263,582,784,634,488,846,1418
2005,Arkansas,258532000,900000000,2648023000,1400000000,1875065000,1158532000,4048023000,2781097,93,324,952,503,674,417,1456
2005,California,15969509000,18100000000,20843459000,24600000000,42992007000,34069509000,45443459000,35827943,446,505,582,687,1200,951,1268
2005,Colorado,2242190000,2700000000,2500004000,2800000000,3770736000,4942190000,5300004000,4631888,484,583,540,605,814,1067,1144
2005,Connecticut,4755644000,2400000000,1979944000,2300000000,5033442000,7155644000,4279944000,3506956,1356,684,565,656,1435,2040,1220
2005,Delaware,285848000,200000000,49902000,200000000,932254000,485848000,249902000,845150,338,237,59,237,1103,575,296
2005,District of Columbia,435527000,700000000,443254000,600000000,1147940000,1135527000,1043254000,567136,768,1234,782,1058,2024,2002,1840
2005,Florida,9991910000,10400000000,13753613000,14000000000,0,20391910000,27753613000,17842038,560,583,771,785,0,1143,1556
2005,Georgia,3714553000,4500000000,4341271000,5000000000,7326225000,8214553000,9341271000,8925922,416,504,486,560,821,920,1047
2005,Hawaii,218239000,600000000,1507333000,1100000000,1381481000,818239000,2607333000,1292729,169,464,1166,851,1069,633,2017
2005,Idaho,454118000,700000000,923222000,500000000,1040512000,1154118000,1423222000,1428241,318,490,646,350,729,808,996
2005,Illinois,8411680000,9900000000,5554355000,8100000000,7936884000,18311680000,13654355000,12609903,667,785,440,642,629,1452,1083
2005,Indiana,3002586000,5300000000,4013172000,2200000000,4811592000,8302586000,6213172000,6278616,478,844,639,350,766,1322,990
2005,Iowa,1002317000,2300000000,1761525000,1000000000,2312898000,3302317000,2761525000,2964454,338,776,594,337,780,1114,932
2005,Kansas,1005500000,2100000000,1727080000,1600000000,2079782000,3105500000,3327080000,2745299,366,765,629,583,758,1131,1212
2005,Kentucky,946867000,1300000000,1442577000,2000000000,3792231000,2246867000,3442577000,4182742,226,311,345,478,907,537,823
2005,Louisiana,529386000,1900000000,2222737000,4400000000,2392727000,2429386000,6622737000,4576628,116,415,486,961,523,531,1447
2005,Maine,851968000,1300000000,793927000,500000000,1299252000,2151968000,1293927000,1318787,646,986,602,379,985,1632,981
2005,Maryland,2094371000,3500000000,1803767000,2600000000,9153415000,5594371000,4403767000,5592379,375,626,323,465,1637,1000,787
2005,Massachusetts,5141126000,5200000000,2769357000,2300000000,9690270000,10341126000,5069357000,6403290,803,812,432,359,1513,1615,792
2005,Michigan,6519239000,6400000000,7484822000,3100000000,6565176000,12919239000,10584822000,10051137,649,637,745,308,653,1285,1053
2005,Minnesota,1150876000,4100000000,2236277000,3000000000,6341164000,5250876000,5236277000,5119598,225,801,437,586,1239,1026,1023
2005,Mississippi,467447000,1500000000,1770262000,1400000000,1174065000,1967447000,3170262000,2905943,161,516,609,482,404,677,1091
2005,Missouri,2395477000,2300000000,2932236000,3200000000,4318505000,4695477000,6132236000,5790300,414,397,506,553,746,811,1059
2005,Montana,296463000,700000000,103937000,200000000,713390000,996463000,303937000,940102,315,745,111,213,759,1060,323
2005,Nebraska,794637000,1300000000,1032451000,1200000000,1393897000,2094637000,2232451000,1761497,451,738,586,681,791,1189,1267
2005,Nevada,1020774000,1300000000,1966854000,1900000000,0,2320774000,3866854000,2432143,420,535,809,781,0,954,1590
2005,New Hampshire,1350326000,1300000000,15475000,300000000,67686000,2650326000,315475000,1298492,1040,1001,12,231,52,2041,243
2005,New Jersey,12596599000,6600000000,4677617000,4300000000,9537939000,19196599000,8977617000,8651974,1456,763,541,497,1102,2219,1038
2005,New Mexico,369915000,500000000,1119259000,1400000000,1086015000,869915000,2519259000,1932274,191,259,579,725,562,450,1304
2005,New York,16449967000,17700000000,9586509000,14800000000,34843704000,34149967000,24386509000,19132610,860,925,501,774,1821,1785,1275
2005,North Carolina,3249622000,3200000000,4304133000,3900000000,8427553000,6449622000,8204133000,8705407,373,368,494,448,968,741,942
2005,North Dakota,120114000,500000000,268372000,400000000,242008000,620114000,668372000,646089,186,774,415,619,375,960,1034
2005,Ohio,5273977000,6700000000,6581147000,5600000000,13079167000,11973977000,12181147000,11463320,460,584,574,489,1141,1045,1063
2005,Oklahoma,618634000,1100000000,1661747000,2000000000,2468609000,1718634000,3661747000,3548597,174,310,468,564,696,484,1032
2005,Oregon,1761698000,1800000000,425448000,400000000,4829181000,3561698000,825448000,3613202,488,498,118,111,1337,986,228
2005,Pennsylvania,7090472000,6300000000,6677772000,5900000000,11461650000,13390472000,12577772000,12449990,570,506,536,474,921,1076,1010
2005,Rhode Island,919413000,900000000,610794000,600000000,998042000,1819413000,1210794000,1067916,861,843,572,562,935,1704,1134
2005,South Carolina,1238818000,2500000000,2312350000,1500000000,2691473000,3738818000,3812350000,4270150,290,585,542,351,630,876,893
2005,South Dakota,136262000,600000000,515013000,500000000,0,736262000,1015013000,775493,176,774,664,645,0,949,1309
2005,Tennessee,1094539000,2800000000,5386834000,3400000000,155333000,3894539000,8786834000,5991057,183,467,899,568,26,650,1467
2005,Texas,10589045000,19700000000,9606975000,16600000000,0,30289045000,26206975000,22778123,465,865,422,729,0,1330,1151
2005,Utah,892458000,900000000,1557653000,1200000000,1926697000,1792458000,2757653000,2457719,363,366,634,488,784,729,1122
2005,Vermont,456355000,600000000,179616000,300000000,500464000,1056355000,479616000,621215,735,966,289,483,806,1700,772
2005,Virginia,4590045000,3800000000,2505960000,3500000000,8352366000,8390045000,6005960000,7577105,606,502,331,462,1102,1107,793
2005,Washington,3632143000,3000000000,5159158000,7800000000,0,6632143000,12959158000,6257305,580,479,825,1247,0,1060,2071
2005,West Virginia,108420000,900000000,820730000,900000000,1171987000,1008420000,1720730000,1820492,60,494,451,494,644,554,945
2005,Wisconsin,3996015000,3800000000,3700525000,2200000000,5465082000,7796015000,5900525000,5546166,721,685,667,397,985,1406,1064
2005,Wyoming,164483000,700000000,297328000,500000000,0,864483000,797328000,514157,320,1361,578,972,0,1681,1551
2005,United States Total,152979002000,182800000000,164115861000,175400000000,242273042000,335779002000,339515861000,295516599,518,619,555,594,820,1136,1149
2006,Alabama,613562000,1300000000,3063380000,2500000000,2876442000,1913562000,5563380000,4628981,133,281,662,540,621,413,1202
2006,Alaska,69186000,900000000,240459000,100000000,0,969186000,340459000,675302,102,1333,356,148,0,1435,504
2006,Arizona,2094205000,3800000000,5508523000,4300000000,3253279000,5894205000,9808523000,6029141,347,630,914,713,540,978,1627
2006,Arkansas,416614000,900000000,2750178000,1600000000,2012835000,1316614000,4350178000,2821761,148,319,975,567,713,467,1542
2006,California,23746062000,19700000000,20096646000,28300000000,51219823000,43446062000,48396646000,36021202,659,547,558,786,1422,1206,1344
2006,Colorado,2213605000,3100000000,2821390000,3000000000,4258944000,5313605000,5821390000,4720423,469,657,598,636,902,1126,1233
2006,Connecticut,4867866000,2700000000,1743889000,2200000000,5777636000,7567866000,3943889000,3517460,1384,768,496,625,1643,2152,1121
2006,Delaware,230764000,300000000,67998000,200000000,1076552000,530764000,267998000,859268,269,349,79,233,1253,618,312
2006,District of Columbia,413606000,800000000,553020000,500000000,1232384000,1213606000,1053020000,570681,725,1402,969,876,2159,2127,1845
2006,Florida,11534925000,11600000000,17826201000,15300000000,0,23134925000,33126201000,18166990,635,639,981,842,0,1273,1823
2006,Georgia,3783608000,5100000000,5769355000,5300000000,8040366000,8883608000,11069355000,9155813,413,557,630,579,878,970,1209
2006,Hawaii,382653000,600000000,1554238000,1300000000,1550757000,982653000,2854238000,1309731,292,458,1187,993,1184,750,2179
2006,Idaho,434748000,800000000,888838000,500000000,1222569000,1234748000,1388838000,1468669,296,545,605,340,832,841,946
2006,Illinois,8316283000,11200000000,6381409000,8200000000,8635104000,19516283000,14581409000,12643955,658,886,505,649,683,1544,1153
2006,Indiana,1531161000,6000000000,4291828000,2300000000,5299485000,7531161000,6591828000,6332669,242,947,678,363,837,1189,1041
2006,Iowa,788882000,2600000000,1926996000,1000000000,2482891000,3388882000,2926996000,2982644,264,872,646,335,832,1136,981
2006,Kansas,867231000,2400000000,1935980000,1700000000,2402085000,3267231000,3635980000,2762931,314,869,701,615,869,1183,1316
2006,Kentucky,935367000,1500000000,1737816000,2100000000,3921908000,2435367000,3837816000,4219239,222,356,412,498,930,577,910
2006,Louisiana,269740000,2200000000,2626147000,5000000000,2501120000,2469740000,7626147000,4302665,63,511,610,1162,581,574,1772
2006,Maine,611708000,1400000000,866225000,600000000,1368927000,2011708000,1466225000,1323619,462,1058,654,453,1034,1520,1108
2006,Maryland,2461742000,3500000000,2126297000,2800000000,9847319000,5961742000,4926297000,5627367,437,622,378,498,1750,1059,875
2006,Massachusetts,4912163000,5900000000,2710361000,2500000000,10483437000,10812163000,5210361000,6410084,766,920,423,390,1635,1687,813
2006,Michigan,6456170000,7100000000,6838957000,3700000000,6698913000,13556170000,10538957000,10036081,643,707,681,369,667,1351,1050
2006,Minnesota,820204000,4500000000,2553115000,3200000000,6862953000,5320204000,5753115000,5163555,159,871,494,620,1329,1030,1114
2006,Mississippi,376719000,1700000000,2140285000,1500000000,1254733000,2076719000,3640285000,2904978,130,585,737,516,432,715,1253
2006,Missouri,2331131000,2600000000,2957232000,3200000000,4821082000,4931131000,6157232000,5842704,399,445,506,548,825,844,1054
