JF,state,year,services_state_tax,local_tax,services_tax
0,Alabama,2005,4.0,2.15,6.15
1,Alabama,2005,0.0,2.15,0.0
2,Alabama,2005,0.0,2.15,0.0
3,Alabama,2005,0.0,2.15,0.0
4,Alabama,2005,0.0,2.15,0.0
5,Alabama,2005,0.0,2.15,0.0
6,Alabama,2005,0.0,2.15,0.0
7,Alabama,2005,0.0,2.15,0.0
8,Alabama,2005,0.0,2.15,0.0
9,Alabama,2005,0.0,2.15,0.0
10,Alabama,2005,0.0,2.15,0.0
11,Alabama,2005,0.0,2.15,0.0
12,Alabama,2005,0.0,2.15,0.0
13,Alabama,2005,0.0,2.15,0.0
14,Alabama,2005,0.0,2.15,0.0
15,Alabama,2005,0.0,2.15,0.0
16,Alabama,2005,0.0,2.15,0.0
17,Alabama,2005,0.0,2.15,0.0
18,Alabama,2005,0.0,2.15,0.0
19,Alabama,2005,0.0,2.15,0.0
20,Alabama,2005,0.0,2.15,0.0
21,Alabama,2005,0.0,2.15,0.0
22,Alabama,2005,0.0,2.15,0.0
23,Alabama,2005,0.0,2.15,0.0
24,Alabama,2005,0.0,2.15,0.0
25,Alabama,2005,0.0,2.15,0.0
26,Alabama,2005,0.0,2.15,0.0
27,Alabama,2005,0.0,2.15,0.0
28,Alabama,2005,0.0,2.15,0.0
29,Alabama,2005,6.0,2.15,8.15
30,Alabama,2005,0.0,2.15,0.0
31,Alabama,2005,6.0,2.15,8.15
32,Alabama,2005,4.0,2.15,6.15
33,Alabama,2005,0.0,2.15,0.0
34,Alabama,2005,4.0,2.15,6.15
35,Alabama,2005,4.0,2.15,6.15
36,Alabama,2005,0.0,2.15,0.0
37,Alabama,2005,6.0,2.15,8.15
38,Alabama,2005,6.0,2.15,8.15
39,Alabama,2005,6.0,2.15,8.15
40,Alabama,2005,4.0,2.15,6.15
41,Alabama,2005,4.0,2.15,6.15
42,Alabama,2005,4.0,2.15,6.15
43,Alabama,2005,4.0,2.15,6.15
44,Alabama,2005,0.0,2.15,0.0
45,Alabama,2005,0.0,2.15,0.0
46,Alabama,2005,0.0,2.15,0.0
47,Alabama,2005,0.0,2.15,0.0
48,Alabama,2005,0.0,2.15,0.0
49,Alabama,2005,0.0,2.15,0.0
50,Alabama,2005,0.0,2.15,0.0
51,Alabama,2005,0.0,2.15,0.0
52,Alabama,2005,0.0,2.15,0.0
53,Alabama,2005,0.0,2.15,0.0
54,Alabama,2005,0.0,2.15,0.0
55,Alabama,2005,0.0,2.15,0.0
56,Alabama,2005,0.0,2.15,0.0
57,Alabama,2005,2.0,2.15,4.15
